# captured=2026-09-19 startFrom=2025-09-19 minValue=5000000
228380 | VN1000803 | Rangebank Primary School, Stage 1 2023-24 | 10 Dec 2026 | 5094991.92 | Department of Education | Construction Contracts | Building and Facility Construction and Maintenance Services | Tycorp Constructions Pty Ltd | 67616844243
233817 | CWFY2025S869101/VN1001834 | Patterson Rd Secondary + Specialist_ Principal Design Services | 9 Sept 2026 | 5141400.00 | Department of Education | Construction Contracts | Building and Facility Construction and Maintenance Services | Brand Architects | 32063361786
233566 | C25-0036 | Apollo Bay Harbour Redevelopment | 7 Sept 2026 | 10097340.00 | Great Ocean Road Coast and Parks Authority | Construction Contracts | Building and Facility Construction and Maintenance Services | Bowden Corporation Pty. Ltd. | 55097029993
233261 | VN1001447 | Hydrotherapy Pools Western Bundle - Ballarat & Lake Colac Special Development Sc | 17 Aug 2026 | 7668365.00 | Department of Education | Construction Contracts | Building and Facility Construction and Maintenance Services | SJ Weir | 14119935367
232935 | RFT-974 | RFT-974 BMP Construction of Superlot Stage 3 | 17 Aug 2026 | 10923408.00 | The Southern Metropolitan Cemeteries Trust | Construction Contracts | Building and Facility Construction and Maintenance Services | Entracon Civil Pty Ltd | 35118370077
233262 | VN1001446 | Hydrotherapy Pools Eastern Bundle - East Gippsland & Bass Coast Special Developm | 17 Aug 2026 | 8690150.00 | Department of Education | Construction Contracts | Building and Facility Construction and Maintenance Services | SJ Higgins | 14005648395
233265 | VN1001448 | Hydrotherapy Pools Program - Central Bundle - Springvale Park and Yarraville Spe | 17 Aug 2026 | 7574295.00 | Department of Education | Construction Contracts | Building and Facility Construction and Maintenance Services | Devco Project & Construction Management Pty. Ltd. | 15007223332
233803 | 802017 | VLC1000800 - Wilson Parking Lease, 452 FS | 1 Aug 2026 | 18700000.00 | V/Line | Operating and Financial Leases | Facilities management | Wilson Parking Australia 1992 Pty Ltd | 67052475911
232667 | RFT-980 | RFT-980 SMCT Facilities Maintenance Contract | 1 Aug 2026 | 5261225.38 | The Southern Metropolitan Cemeteries Trust | Purchases of Goods/Services | Building and facility maintenance and repair services | Zancott Knight Pty Ltd | 42607759688
232809 | RFX 101267 RFT2025 | Suppy and Delivery of Chemicals | 1 Aug 2026 | 6405355.00 | South East Water Corporation | Purchases of Goods/Services | Chemicals including Bio Chemicals and Gas Materials | Several suppliers |
233749 | 801226/173631 | Design Review Team | 23 July 2026 | 14384813.74 | V/Line | Purchases of Goods/Services | Professional associations | Sener | 63161140174
233750 | 801224/173624 | Design Review Team | 23 July 2026 | 12486059.30 | V/Line | Purchases of Goods/Services | Professional associations | Interface Rail Engineering Pty Ltd | 56597828542
233238 | 42651 | M4 Watermain Renewal | 22 July 2026 | 26966180.82 | Yarra Valley Water | Construction Contracts | Water and sewer utilities | |
233026 | GWW12044 | Design and Construct of Magnet Hill 3ML Tank and Interconnecting Pipeline | 14 July 2026 | 11000000.00 | Greater Western Water | Construction Contracts | Water and sewer utilities | Fulton Hogan | 83632499686
232623 | DOT44600 | Victorian Road Maintenance Contract (VRMC) - Metro East | 1 July 2026 | 45000000.00 | Department of Transport and Planning (DTP) | Construction Contracts | Highway and road maintenance service | Ventia | 11093114553
232132 | PRC000325 | TN Marine PTY LTD trading as NORTH MARINE | 1 July 2026 | 24000000.00 | Northern Victoria Institute of TAFE | Purchases of Goods/Services | Defense and Law Enforcement and Security and Safety Equipment and Supplies | |
233223 | 802001 | VLC1000819 - Maintenance of CCTV, PIDS Etc | 1 July 2026 | 10560000.00 | V/Line | Purchases of Goods/Services | Public Utilities and Public Sector Related Services | Axent holdings Pty Ltd | 87096387370
232908 | C6432. | Vaccine Warehousing and Distribution System | 1 July 2026 | 5696058.53 | Department of Health | Purchases of Goods/Services | Comprehensive health services | EBOS Group Australia | 38125401247
232624 | DOT44599 | Victorian Road Maintenance Contract (VRMC) - Grampians | 1 July 2026 | 50000000.00 | Department of Transport and Planning (DTP) | Construction Contracts | Highway and road maintenance service | Ventia | 11093114553
230018 | PO0013201 | Goods and Services | 1 July 2026 | 12964250.20 | Victorian Building Authority | Purchases of Goods/Services | Administration software | HIA Insurance Services Pty Ltd | 84076460967
